hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334482710,Hero(SB),181BB,8h 2c,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB
RC3334482680,Hero(CO),181BB,7s 2d,,,,Opp(MP): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334482627,Hero(MP),181BB,Jh 9h,,,,Opp(UTG): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334482598,Hero(MP),181BB,Tc 9s,8d 7d 7c,4d,,Opp(SB): raises 3.0BB; Opp(BB): raises 9.0BB; Opp(SB): calls 6.0BB; ,19.4BB,Opp(SB): checks; Opp(BB): checks; ,19.4BB,Opp(SB): bets 22.0BB; ,19.4BB,,0BB,0BB,18.0BB
RC3334482572,Hero(UTG),181BB,Kh 3c,3s 2d Qs,4h,As,Opp(CO): raises 2.0BB; Opp(BB): raises 9.0BB; Opp(CO): calls 7.0BB; ,19.4BB,Opp(BB): bets 6.2BB; Opp(CO): calls 6.2BB; ,31.8BB,Opp(BB): bets 10.2BB; Opp(CO): calls 10.2BB; ,52.2BB,Opp(BB): checks; Opp(CO): bets 75.4BB; ,52.2BB,0BB,51.2BB
RC3334482547,Hero(MP),180BB,5s Jh,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334482520,Hero(UTG),180BB,4c Ts,9d Qs 4d,,,Opp(CO): raises 2.4BB; Opp(BB): raises 10.0BB; Opp(CO): raises 23.0BB; Opp(BB): calls 13.0BB; ,49.8BB,Opp(BB): checks; Opp(CO): bets 11.2BB; Opp(BB): raises 36.0BB; ,72.2BB,,0BB,,0BB,0BB,68.8BB
RC3334482497,Hero(BB),181BB,6s Jc,,,,,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3334482132,Hero(SB),171BB,Kd Kh,Qd 5d 9c,6h,,Opp(CO): raises 2.2BB; Hero: raises 9.2BB; Opp(CO): calls 7.0BB; ,19.8BB,Hero: checks; Opp(CO): checks; ,19.8BB,Hero: bets 10.0BB; ,19.8BB,,0BB,9.3BB,19.4BB
RC3334482045,Hero(UTG),171BB,5d 8c,As Ts 6c,4h,,Opp(SB): raises 2.6BB; Opp(BB): raises 10.0BB; Opp(SB): calls 7.4BB; ,21.4BB,Opp(SB): checks; Opp(BB): bets 7.6BB; Opp(SB): calls 7.6BB; ,36.6BB,Opp(SB): checks; Opp(BB): bets 26.4BB; ,36.6BB,,0BB,0BB,35.2BB
