hand_id,hero_position,hero_position_type,hero_open_position,hero_3b_position,pot_type,hero_squeeze,final_pot_type,hero_stack,hero_cards,SB_BB,flop_cards,turn_card,river_card,preflop_actions,preflop_action_1st_bet,preflop_action_3B,preflop_action_4B,preflop_action_5B,preflop_action_limp,preflop_action_limp_fold,preflop_action_limp_call,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot,cash_drop,IP_Cbet_Flop,OOP_Cbet_Flop,IP_Cbet_Response,OOP_Cbet_Response,OOP_Donk_Flop,Miss_Cbet_OOP,Miss_Cbet_OOP_Response,Miss_Cbet_IP,Miss_Cbet_IP_Response
RC3334598613,Hero(SB),OOP,,,SRP,NO,1v1,151BB,8d 8h,$0.02/$0.05,2d 5h Tc,Kc,9s,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): folds; Hero(SB): calls 1.6BB; Opp(BB): folds,Opp(CO): raises 2.0BB; Opp(BTN): folds; Hero(SB): calls 1.6BB; Opp(BB): folds,,,,,,,5.0BB,Hero(SB): checks; Opp(CO): bets 1.8BB; Hero(SB): calls 1.8BB; ,8.6BB,Hero(SB): checks; Opp(CO): checks; ,8.6BB,Hero(SB): checks; Opp(CO): checks; ,8.6BB,4.4BB,8.6BB,,YES,NO,OOP call,,NO,YES,,,
RC3334598583,Hero(SB),NA,,,limped,NO,fold,152BB,Jd 3s,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,-0.4BB,0.8BB,,,,,,NO,,,,
RC3334598555,Hero(UTG),NA,,,limped,NO,fold,152BB,2d 6d,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334598528,Hero(BB),NA,,,3B,NO,fold,153BB,4c Th,$0.02/$0.05,,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): raises 6.2BB; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds; Opp(UTG): folds,Opp(UTG): raises 2.0BB; Opp(MP): folds,Opp(CO): raises 6.2BB; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds; Opp(UTG): folds,,,,,,5.4BB,,0BB,,0BB,,0BB,-1.0BB,5.4BB,,,,,,NO,,,,
RC3334598497,Hero(CO),NA,,,SRP,NO,fold,153BB,6c 5s,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): folds,Opp(BTN): raises 2.0BB; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334598469,Hero(UTG),NA,,,SRP,NO,fold,153BB,7h Kc,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): raises 2.0BB; Opp(BB): folds,Opp(SB): raises 2.0BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334598442,Hero(MP),NA,,,SRP,NO,fold,153BB,Qd 8c,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): raises 2.4BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.4BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334598399,Hero(MP),NA,,,3B,NO,fold,153BB,Js 8s,$0.02/$0.05,,,,Opp(UTG): folds; Hero(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): raises 9.6BB; Opp(BB): folds; Opp(BTN): folds,Opp(BTN): raises 2.0BB,Opp(SB): raises 9.6BB; Opp(BB): folds; Opp(BTN): folds,,,,,,5.4BB,,0BB,,0BB,,0BB,0BB,5.0BB,,,,,,NO,,,,
RC3334598374,Hero(BB),NA,,,3B,NO,fold,154BB,8s 5d,$0.02/$0.05,,,,Opp(UTG): raises 3.0BB; Opp(MP): folds; Opp(CO): raises 9.0BB; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds; Opp(UTG): folds,Opp(UTG): raises 3.0BB; Opp(MP): folds,Opp(CO): raises 9.0BB; Opp(BTN): folds; Opp(SB): folds; Hero(BB): folds; Opp(UTG): folds,,,,,,7.4BB,,0BB,,0BB,,0BB,-1.0BB,7.4BB,,,,,,NO,,,,
RC3334598341,Hero(CO),NA,,,SRP,NO,fold,154BB,Ts 8d,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): raises 2.8BB; Opp(BB): folds,Opp(SB): raises 2.8BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334598308,Hero(UTG),NA,,,SRP,NO,fold,154BB,Ad 9s,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.6BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.6BB; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334598281,Hero(BTN),NA,,,SRP,NO,fold,154BB,7s 9d,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(CO): raises 2.0BB; Hero(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
RC3334598255,Hero(UTG),NA,,,limped,NO,fold,154BB,4d 9c,$0.02/$0.05,,,,Hero(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds,,,,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB,,,,,,NO,,,,
RC3334598225,Hero(CO),NA,,,SRP,NO,fold,154BB,5c Ah,$0.02/$0.05,,,,Opp(UTG): folds; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): raises 3.0BB; Opp(BB): folds,Opp(SB): raises 3.0BB; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB,,,,,,NO,,,,
RC3334598198,Hero(BTN),NA,,,limped,NO,1v1,154BB,Qd 3d,$0.02/$0.05,Ts 9d 2d,5c,8s,Opp(UTG): calls 1.0BB; Opp(MP): folds; Opp(CO): folds; Hero(BTN): folds; Opp(SB): folds; Opp(BB): checks,,,,,,,,2.4BB,Opp(BB): checks; Opp(UTG): bets 2.4BB; Opp(BB): calls 2.4BB; ,7.2BB,Opp(BB): checks; Opp(UTG): bets 2.4BB; Opp(BB): calls 2.4BB; ,12.0BB,Opp(BB): checks; Opp(UTG): bets 4.0BB; Opp(BB): calls 4.0BB; ,20.0BB,0BB,20.0BB,,YES,NO,OOP call,,NO,YES,,,
RC3334598141,Hero(BB),NA,,,3B,NO,1v1,155BB,5s Ac,$0.02/$0.05,2c Qc 4h,Td,6c,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): raises 9.0BB; Hero(BB): folds; Opp(BTN): calls 7.0BB,Opp(BTN): raises 2.0BB,Opp(SB): raises 9.0BB; Hero(BB): folds; Opp(BTN): calls 7.0BB,,,,,,19.4BB,Opp(SB): bets 7.0BB; Opp(BTN): calls 7.0BB; ,33.4BB,Opp(SB): bets 24.0BB; Opp(BTN): calls 24.0BB; ,81.4BB,Opp(SB): checks; Opp(BTN): checks; ,81.4BB,-1.0BB,81.0BB,,NO,NO,,IP call,YES,YES,,YES,
RC3334598106,Hero(CO),NA,,,SRP,NO,fold,155BB,3d Js,$0.02/$0.05,,,,Opp(UTG): raises 2.6BB; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,Opp(UTG): raises 2.6BB; Opp(MP): folds; Hero(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds,,,,,,,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB,,,,,,NO,,,,
