hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,flop_actions,turn_actions,river_actions,result
RC3334598710,3,8.47,Jh 2d,,,,,,,,Opponent 3
RC3334598654,6,8.47,5h Qc,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334598605,5,8.47,Jh 7c,6c 8d 4s,,,Opponent: raises $0.1 to $0.15; Opponent: calls $0.1; ,Opponent: checks; Opponent: bets $0.1; ,,,Opponent collected $0.29 from pot
RC3334598548,1,8.47,2c Kc,,,,,,,,Opponent 3
RC3334598515,4,8.47,Td 5d,,,,Opponent: raises $0.07 to $0.12; ,,,,Opponent 1
RC3334598488,3,8.52,3s 9s,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 4
RC3334598463,4,8.52,8d 2c,Qc Jc Ks,Ts,Ad,Opponent: raises $0.1 to $0.15; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.25; Opponent: calls $0.25; ,Opponent: checks; Opponent: checks; Opponent: shows [Qs 2s] (Aces-High Straight); Opponent: shows [6s As] (Aces-High Straight); ,Opponent collected $0.38 from pot
RC3334598329,4,8.45,Jd Ad,,,,Hero: raises $0.05 to $0.1; ,,,,Opponent 4
RC3334598295,4,8.45,Kc Js,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334598263,4,8.45,3s 4s,,,,,,,,Opponent 3
RC3334598230,2,8.47,Ts 9d,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 5
RC3334597963,3,8.57,3d 3h,7s Th 4d,,,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.07; ,,,Opponent collected $0.21 from pot
RC3334597544,5,8.33,9h 8h,2s Kh 8c,5d,8s,Opponent: raises $0.05 to $0.1; Hero: calls $0.1; ,Opponent: bets $0.09; Hero: calls $0.09; ,Opponent: checks; Hero: checks; ,Opponent: checks; Hero: bets $0.34; ,Hero collected $0.43 from pot
RC3334597516,2,8.35,Qs 5h,7c 5s 5c,Tc,4h,Opponent: raises $0.06 to $0.11; Opponent: calls $0.11; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [3d 3s] (Pair of Fives and Pair of Treys); Opponent: shows [Jh Qd] (Pair of Fives); ,Opponent collected $0.28 from pot
RC3334597486,4,8.35,Qh Jc,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 6
RC3334597387,2,8.3,Kh Js,5h 8c 2c,,,Hero: calls $0.03; Opponent: checks; ,Hero: bets $0.05; ,,,Hero collected $0.1 from pot
RC3334597361,1,8.3,8c 6d,Qh 4s Qd,2d,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.2; ,,Opponent collected $0.26 from pot
RC3334597329,6,8.3,8c 5h,5d Tc Js,2s,Kc,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: bets $0.12; Opponent: calls $0.12; ,Opponent: bets $0.28; Opponent: calls $0.28; ,Opponent: checks; Opponent: bets $0.8; Opponent: calls $0.8; Opponent: shows [Ad 4c] (Ace-High); Opponent: shows [Jd 2d] (Pair of Jacks and Pair of Twos); ,Opponent collected $2.46 from pot
RC3334597305,2,8.32,Js 7c,5s 2d 4s,Td,,Opponent: raises $0.07 to $0.12; Opponent: calls $0.07; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.26; ,,Opponent collected $0.25 from pot
RC3334597261,3,8.37,Tc 5s,Qc Ah Jc,2h,9s,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; ,Opponent: bets $0.1; Opponent: raises $0.3 to $0.4; Opponent: calls $0.3; ,Opponent: checks; Opponent: bets $1; Opponent: calls $1; ,Opponent: checks; Opponent: bets $3.59 and is all-in; ,Opponent collected $2.85 from pot
RC3334597233,1,8.37,2d 2c,,,,Opponent: raises $0.06 to $0.11; Opponent: raises $0.29 to $0.4; ,,,,Opponent 6
RC3334597025,3,8.26,Ad 9c,Tc Ac 2c,Jc,,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: checks; ,Hero: bets $0.12; ,,Hero collected $0.21 from pot
RC3334596997,5,8.26,8d 5c,Td Kd Qs,9h,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.19 to $0.29; Opponent: raises $0.49 to $0.78; Opponent: calls $0.49; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: bets $0.95; Opponent: raises $6.88 to $7.83 and is all-in; ,,Opponent collected $3.31 from pot
RC3334596971,5,8.26,2s 9d,Tc 5h 6h,4h,Ts,Opponent: raises $0.05 to $0.1; Opponent: calls $0.1; Opponent: raises $0.45 to $0.55; Opponent: calls $0.45; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.75; Opponent: calls $0.75; ,Opponent: bets $2.45; Opponent: raises $7.95 to $10.4 and is all-in; ,Opponent collected $7.4 from pot
RC3334596924,4,8.26,6s 7d,5d 2h 4c,Qd,3d,Opponent: raises $0.1 to $0.15; Opponent: calls $0.1; ,Opponent: checks; Opponent: bets $0.1; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.17; Opponent: calls $0.17; Opponent: shows [Ah Jd] (Fives-High Straight); Opponent: shows [7c 5c] (Pair of Fives); ,Opponent collected $0.8 from pot
RC3334596895,2,8.28,6h 7s,6d 3h 5c,,,Opponent: raises $0.07 to $0.12; Opponent: calls $0.07; ,Opponent: bets $0.13; ,,,Opponent collected $0.25 from pot
RC3334596866,6,8.28,Qs 2c,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334596837,3,8.33,Js 7c,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 5
RC3334596809,1,8.33,4s 8s,Jc Ad Td,7d,6d,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: bets $0.08; Opponent: calls $0.08; ,Opponent: checks; Opponent: bets $0.29; Opponent: calls $0.29; ,Opponent: checks; Opponent: bets $2.5; ,Opponent collected $0.92 from pot
RC3334596778,1,8.33,3c 4c,Kc 3h 9d,Ad,4d,Opponent: raises $0.1 to $0.15; Opponent: raises $0.24 to $0.39; Opponent: calls $0.24; ,Opponent: bets $0.27; Opponent: calls $0.27; ,Opponent: checks; Opponent: checks; ,Opponent: bets $1.01; Opponent: raises $4.33 to $5.34 and is all-in; Opponent: calls $3.98 and is all-in; Opponent: shows [2c 5c] (Fives-High Straight); Opponent: shows [Th Ks] (Pair of Kings); ,Opponent collected $11.1 from pot
RC3334596751,2,8.35,5d 6h,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 1
RC3334596709,6,8.35,2d 3s,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.35 to $0.45; ,,,,Opponent 2
RC3334596682,1,8.35,Jc 5d,6s As Qd,,,Opponent: raises $0.05 to $0.1; Opponent: calls $0.05; ,Opponent: checks; Opponent: bets $0.22; ,,,Opponent collected $0.21 from pot
RC3334596646,4,8.35,Kd 3s,,,,Opponent: raises $0.07 to $0.12; Opponent: raises $0.38 to $0.5; ,,,,Opponent 3
RC3334596488,4,8.45,Kd Jh,,,,Hero: raises $0.05 to $0.1; Opponent: raises $0.4 to $0.5; ,,,,Opponent 2
RC3334596453,5,8.45,2h 3d,,,,,,,,Opponent 3
RC3334596423,2,8.47,6s Js,Ts 5h Jd,8s,3s,Opponent: raises $0.08 to $0.13; Opponent: raises $0.37 to $0.5; Opponent: calls $0.37; ,Opponent: bets $0.51; Opponent: calls $0.51; ,Opponent: bets $1.02; Opponent: calls $1.02; ,Opponent: bets $4.61 and is all-in; ,Opponent collected $3.86 from pot
RC3334596239,3,8.59,9c 6c,As 3d Ah,,,Opponent: raises $0.07 to $0.12; Hero: calls $0.07; ,Hero: checks; Opponent: bets $0.08; ,,,Opponent collected $0.25 from pot
RC3334596205,5,8.59,2s 5h,,,,Opponent: raises $0.05 to $0.1; Opponent: raises $0.32 to $0.42; ,,,,Opponent 6
RC3334596166,4,8.59,7h 4d,2d Kd Jd,3h,7c,Opponent: raises $0.1 to $0.15; Opponent: calls $0.1; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.11; Opponent: calls $0.11; ,Opponent: bets $0.18; ,Opponent collected $0.52 from pot
RC3334596141,6,8.59,4s 8s,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 4
RC3334596102,4,8.59,8s 6c,,,,Opponent: raises $0.06 to $0.11; ,,,,Opponent 1
RC3334596075,2,8.61,Qs 4s,3h 3d Jh,9s,4c,Opponent: calls $0.05; Opponent: raises $0.13 to $0.18; Opponent: calls $0.13; ,Opponent: checks; Opponent: bets $0.15; Opponent: calls $0.15; ,Opponent: checks; Opponent: bets $0.35; Opponent: calls $0.35; ,Opponent: checks; Opponent: checks; Opponent: shows [Th Qh] (Pair of Treys); Opponent: shows [7h 7s] (Pair of Sevens and Pair of Treys); ,Opponent collected $1.36 from pot
RC3334595956,5,8.54,Ah Ks,,,,Hero: raises $0.05 to $0.1; ,,,,Opponent 5
RC3334595929,1,8.54,2c 8d,Jd 3s 6d,Js,Qh,Opponent: raises $0.06 to $0.11; Opponent: calls $0.09; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.1; Opponent: calls $0.1; ,Opponent: bets $0.36; ,Opponent collected $0.45 from pot
RC3334595895,3,8.59,8s 4s,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334595869,4,8.59,7c Qs,3s Qh 5s,7h,8c,Opponent: raises $0.08 to $0.13; Opponent: calls $0.08; ,Opponent: bets $0.14; Opponent: calls $0.14; ,Opponent: bets $0.28; Opponent: calls $0.28; ,Opponent: checks; Opponent: checks; Opponent: shows [4s 7s] (Pair of Sevens); Opponent: shows [Tc Th] (Pair of Tens); ,Opponent collected $1.07 from pot
RC3334595829,1,8.59,3d Td,9c 5c 8d,Ad,As,Opponent: raises $0.08 to $0.13; Opponent: calls $0.13; ,Opponent: checks; Opponent: checks; ,Opponent: bets $0.25; Opponent: calls $0.25; ,Opponent: bets $0.63; Opponent: calls $0.63; Opponent: shows [Qd Ah] (Three Aces); Opponent: shows [4c Ac] (Three Aces); ,Opponent collected $1.92 from pot
RC3334595635,3,8.69,Kc 9c,Qh 6h 3h,,,Opponent: raises $0.05 to $0.1; Hero: calls $0.05; ,Hero: checks; Opponent: bets $0.17; ,,,Opponent collected $0.21 from pot
RC3334595580,5,8.69,2h Th,9d Qs 6h,Jh,4c,Opponent: raises $0.07 to $0.12; Opponent: calls $0.07; ,Opponent: checks; Opponent: bets $0.09; Opponent: calls $0.09; ,Opponent: checks; Opponent: checks; ,Opponent: checks; Opponent: checks; Opponent: shows [8d 8s] (Pair of Eights); Opponent: shows [5c 6c] (Pair of Sixes); ,Opponent collected $0.42 from pot
RC3334595551,5,8.69,5s 2s,,,,,,,,Opponent 3
RC3334595522,1,8.69,4h Jc,,,,Opponent: raises $0.08 to $0.13; ,,,,Opponent 6
RC3334595490,2,8.71,6s 4s,,,,Opponent: raises $0.05 to $0.1; ,,,,Opponent 5
RC3334595465,3,8.76,9c 7h,,,,Opponent: raises $0.1 to $0.15; ,,,,Opponent 2
RC3334595441,5,8.76,Qc Td,,,,,,,,Opponent 3
