hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3350622929,Hero(UTG),142BB,Qh 8d,6s 5c Kc,Qd,Ts,Opp(BTN): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): checks; Opp(BTN): checks; ,5.6BB,Opp(BB): checks; Opp(BTN): checks; ,5.6BB,Opp(BB): checks; Opp(BTN): checks; 91a3623c: shows [9c 7c] (King-High); 49216454: shows [5d Ad] (Pair of Fives); ,5.6BB,0BB,5.6BB
RC3350622686,Hero(BTN),107BB,Kh Ks,6d 3d Js,4c,5h,Opp(UTG): raises 3.0BB; Hero: raises 8.8BB; Opp(UTG): calls 5.8BB; ,19.0BB,Opp(UTG): bets 9.6BB; Hero: calls 9.6BB; ,38.2BB,Opp(UTG): bets 19.2BB; Hero: calls 19.2BB; ,76.6BB,Opp(UTG): checks; Hero: checks; 17f914c4: shows [Qs Qh] (Pair of Queens); Hero: shows [Kh Ks] (Pair of Kings); ,76.6BB,36.1BB,76.6BB
RC3350622668,Hero(SB),107BB,7d Qs,,,,Opp(MP): raises 2.6BB; ,2.4BB,,0BB,,0BB,,0BB,-0.4BB,2.4BB
RC3350622650,Hero(UTG),107BB,8c Ac,7d Jc Jh,2s,5s,Opp(MP): raises 2.0BB; Opp(BTN): raises 17.2BB; Opp(MP): calls 15.2BB; 6f7c0a6c: shows [Tc Kd]; 6cc6f682: shows [Ks As]; ,35.8BB,,35.8BB,,35.8BB,,0BB,0BB,35.8BB
RC3350622631,Hero(UTG),107BB,6d Ad,,,,,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3350622605,Hero(MP),107BB,7s 3d,9d 2s 7h,Kd,,Opp(UTG): raises 2.6BB; Opp(BB): calls 1.6BB; ,5.6BB,Opp(BB): bets 2.8BB; Opp(UTG): calls 2.8BB; ,11.2BB,Opp(BB): bets 8.8BB; ,11.2BB,,0BB,0BB,11.2BB
RC3350622584,Hero(UTG),107BB,Kd 4c,,,,Opp(BTN): raises 3.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3350622563,Hero(CO),107BB,4d 5s,,,,Opp(SB): raises 2.0BB; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3350622385,Hero(BB),105BB,5h Jh,Js 7s 8h,4c,,Opp(CO): raises 2.0BB; Hero: calls 1.0BB; ,4.4BB,Hero: checks; Opp(CO): checks; ,4.4BB,Hero: bets 2.4BB; ,4.4BB,,0BB,2.1BB,4.4BB
RC3350622164,Hero(MP),101BB,Tc Qc,7h Qd Kc,Th,,Hero: raises 2.0BB; Opp(SB): calls 1.6BB; Opp(BB): calls 1.0BB; ,6.0BB,Opp(SB): checks; Opp(BB): checks; Hero: checks; ,6.0BB,Opp(SB): checks; Opp(BB): checks; Hero: bets 3.2BB; ,6.0BB,,0BB,2.9BB,6.0BB
