hand_id,hero_position,hero_stack,hero_cards,flop_cards,turn_card,river_card,preflop_actions,Preflop_Pot,flop_actions,Flop_Pot,turn_actions,Turn_Pot,river_actions,River_Pot,Result(Hero),Total_Pot
RC3334442287,Hero(BB),100BB,4h Qs,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): raises 2.0BB; Opp(SB): folds; Hero: folds; ,2.4BB,,0BB,,0BB,,0BB,-1.0BB,2.4BB
RC3334442265,Hero(UTG),100BB,2c 8d,,,,Hero: folds; Opp(MP): raises 2.6BB; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334442248,Hero(UTG),100BB,Jc 7h,,,,Hero: folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): raises 2.2BB; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334442212,Hero(SB),100BB,3d Ad,7h 4h Qd,,,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Hero: folds; Opp(BB): calls 1.0BB; ,4.4BB,Opp(BB): checks; Opp(UTG): bets 1.2BB; Opp(BB): folds; ,4.4BB,,0BB,,0BB,-0.4BB,4.4BB
RC3334442193,Hero(MP),100BB,6d 3s,,,,Opp(UTG): folds; Hero: folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
RC3334442165,Hero(CO),100BB,5d Jd,,,,Opp(UTG): folds; Opp(MP): folds; Hero: folds; Opp(BTN): folds; Opp(SB): raises 2.4BB; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.0BB
RC3334442076,Hero(BB),100BB,6d Kd,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Opp(BTN): folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0.4BB,0.8BB
RC3334441774,Hero(BTN),100BB,Ac Ah,Qs Ts Ks,7s,5d,Opp(UTG): raises 2.0BB; Opp(MP): folds; Opp(CO): folds; Hero: raises 6.4BB; Opp(SB): folds; Opp(BB): folds; Opp(UTG): calls 4.4BB; ,14.2BB,Opp(UTG): checks; Hero: bets 4.8BB; Opp(UTG): calls 4.8BB; ,23.8BB,Opp(UTG): checks; Hero: checks; ,23.8BB,Opp(UTG): checks; Hero: checks; c7d7e6aa: shows [8s 8h] (King High Flush); Hero: shows [Ac Ah] (Pair of Aces); ,23.8BB,-11.2BB,23.8BB
RC3334441745,Hero(BB),100BB,Qd 9s,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): raises 2.0BB; Opp(BTN): raises 6.0BB; Opp(SB): folds; Hero: folds; Opp(CO): folds; ,5.4BB,,0BB,,0BB,,0BB,-1.0BB,5.4BB
RC3334441721,Hero(CO),100BB,2d 3s,,,,Opp(UTG): folds; Opp(MP): raises 2.2BB; Hero: folds; Opp(BTN): folds; Opp(SB): folds; Opp(BB): folds; ,2.4BB,,0BB,,0BB,,0BB,0BB,2.4BB
RC3334441482,Hero(BTN),102BB,4d Ad,2s Kc Kh,Jh,Qc,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: raises 2.0BB; Opp(SB): calls 1.6BB; Opp(BB): folds; ,5.0BB,Opp(SB): checks; Hero: checks; ,5.0BB,Opp(SB): checks; Hero: checks; ,5.0BB,Opp(SB): checks; Hero: checks; 18cb11a: shows [Js Ts] (Pair of Kings and Pair of Jacks); Hero: shows [4d Ad] (Pair of Kings); ,5.0BB,-2.0BB,5.0BB
RC3334441454,Hero(BTN),102BB,4c 6s,,,,Opp(UTG): folds; Opp(MP): folds; Opp(CO): folds; Hero: folds; Opp(SB): folds; ,0.8BB,,0BB,,0BB,,0BB,0BB,0.8BB
